code,mv,pt_0,pt_1,pt_2,pt_3,pt_4,pt_5,pt_6,avg
2196,5451.0,234.0,290.0,512.0,230.0,339.0,443.0,159.0,315.2857142857143
763,10829.0,246.0,100.0,242.0,143.0,549.0,373.0,198.0,264.42857142857144
1138,5301.0,135.0,191.0,206.0,151.0,205.0,272.0,148.0,186.85714285714286
1898,20164.0,299.0,171.0,85.0,83.0,156.0,204.0,149.0,163.85714285714286
777,13950.0,242.0,163.0,163.0,138.0,122.0,126.0,191.0,163.57142857142858
729,4779.0,362.0,170.0,76.0,96.0,250.0,107.0,66.0,161.0
1171,15569.0,273.0,196.0,109.0,86.0,161.0,82.0,160.0,152.42857142857142
1766,11638.0,52.0,72.0,96.0,369.0,255.0,87.0,98.0,147.0
3898,12452.0,90.0,67.0,184.0,99.0,239.0,185.0,83.0,135.28571428571428
175,31811.0,210.0,168.0,133.0,79.0,104.0,119.0,106.0,131.28571428571428
958,8531.0,123.0,236.0,88.0,73.0,193.0,105.0,77.0,127.85714285714286
816,4337.0,98.0,133.0,94.0,259.0,142.0,88.0,67.0,125.85714285714286
579,5060.0,74.0,190.0,95.0,52.0,259.0,104.0,54.0,118.28571428571429
347,5168.0,129.0,80.0,109.0,179.0,130.0,96.0,93.0,116.57142857142857
3888,24750.0,141.0,81.0,178.0,142.0,110.0,61.0,88.0,114.42857142857143
1988,53966.0,83.0,92.0,83.0,96.0,122.0,146.0,155.0,111.0
493,20081.0,102.0,94.0,49.0,119.0,122.0,106.0,165.0,108.14285714285714
1818,5622.0,72.0,147.0,66.0,105.0,172.0,111.0,47.0,102.85714285714286
566,31025.0,158.0,100.0,80.0,69.0,76.0,138.0,97.0,102.57142857142857
1071,4751.0,143.0,75.0,74.0,133.0,138.0,82.0,58.0,100.42857142857143
874,7916.0,53.0,33.0,62.0,40.0,198.0,185.0,118.0,98.42857142857143
2382,7660.0,85.0,77.0,220.0,112.0,90.0,56.0,46.0,98.0
751,10118.0,47.0,56.0,49.0,264.0,97.0,83.0,89.0,97.85714285714286
2369,6476.0,55.0,43.0,77.0,286.0,98.0,51.0,68.0,96.85714285714286
1068,10007.0,196.0,111.0,86.0,49.0,105.0,58.0,66.0,95.85714285714286
658,5424.0,237.0,47.0,93.0,45.0,147.0,58.0,40.0,95.28571428571429
750,5191.0,65.0,204.0,129.0,94.0,59.0,50.0,38.0,91.28571428571429
2333,47940.0,48.0,48.0,57.0,61.0,93.0,96.0,223.0,89.42857142857143
3323,22198.0,125.0,66.0,54.0,48.0,121.0,70.0,138.0,88.85714285714286
552,11479.0,31.0,21.0,55.0,50.0,62.0,29.0,374.0,88.85714285714286
268,6651.0,118.0,54.0,182.0,80.0,71.0,75.0,38.0,88.28571428571429
1157,10282.0,59.0,58.0,40.0,21.0,168.0,128.0,133.0,86.71428571428571
2331,7402.0,126.0,93.0,104.0,76.0,93.0,62.0,42.0,85.14285714285714
2866,7427.0,118.0,80.0,75.0,57.0,106.0,67.0,53.0,79.42857142857143
981,19532.0,78.0,79.0,47.0,87.0,127.0,56.0,71.0,77.85714285714286
1099,17644.0,57.0,50.0,172.0,65.0,79.0,44.0,73.0,77.14285714285714
2338,15034.0,54.0,178.0,81.0,40.0,72.0,68.0,36.0,75.57142857142857
1117,16882.0,66.0,104.0,68.0,99.0,90.0,37.0,47.0,73.0
3800,39003.0,38.0,97.0,60.0,51.0,103.0,89.0,63.0,71.57142857142857
1088,82925.0,135.0,61.0,64.0,47.0,61.0,77.0,52.0,71.0
